DATE,Country,Inflation
1960-01-01,India,1.779878
1961-01-01,India,1.695213
1962-01-01,India,3.632215
1963-01-01,India,2.946161
1964-01-01,India,13.355261
1965-01-01,India,9.474759
1966-01-01,India,10.801848
1967-01-01,India,13.062202
1968-01-01,India,3.237412
1969-01-01,India,-0.584137
1970-01-01,India,5.092262
1971-01-01,India,3.079939
1972-01-01,India,6.442097
1973-01-01,India,16.940816
1974-01-01,India,28.598734
1975-01-01,India,5.748430
1976-01-01,India,-7.633948
1977-01-01,India,8.307470
1978-01-01,India,2.523049
1979-01-01,India,6.275683
1980-01-01,India,11.346073
1981-01-01,India,13.112547
1982-01-01,India,7.890743
1983-01-01,India,11.868081
1984-01-01,India,8.318907
1985-01-01,India,5.556424
1986-01-01,India,8.729721
1987-01-01,India,8.801126
1988-01-01,India,9.383472
1989-01-01,India,7.074280
1990-01-01,India,8.971233
1991-01-01,India,13.870246
1992-01-01,India,11.787817
1993-01-01,India,6.326890
1994-01-01,India,10.247936
1995-01-01,India,10.224886
1996-01-01,India,8.977152
1997-01-01,India,7.164252
1998-01-01,India,13.230839
1999-01-01,India,4.669820
2000-01-01,India,4.009436
2001-01-01,India,3.779293
2002-01-01,India,4.297152
2003-01-01,India,3.805859
2004-01-01,India,3.767252
2005-01-01,India,4.246344
2006-01-01,India,5.796523
2007-01-01,India,6.372881
2008-01-01,India,8.349267
2009-01-01,India,10.882353
2010-01-01,India,11.989390
2011-01-01,India,8.858361
2012-01-01,India,9.312446
2013-01-01,India,10.907643
2014-01-01,India,6.353195
2015-01-01,India,5.872427
2016-01-01,India,4.941026
2017-01-01,India,2.490887
2018-01-01,India,4.860699
2019-01-01,India,7.659695
1960-01-01,China,NaN
1961-01-01,China,NaN
1962-01-01,China,NaN
1963-01-01,China,NaN
1964-01-01,China,NaN
1965-01-01,China,NaN
1966-01-01,China,NaN
1967-01-01,China,NaN
1968-01-01,China,NaN
1969-01-01,China,NaN
1970-01-01,China,NaN
1971-01-01,China,NaN
1972-01-01,China,NaN
1973-01-01,China,NaN
1974-01-01,China,NaN
1975-01-01,China,NaN
1976-01-01,China,NaN
1977-01-01,China,NaN
1978-01-01,China,NaN
1979-01-01,China,NaN
1980-01-01,China,NaN
1981-01-01,China,NaN
1982-01-01,China,NaN
1983-01-01,China,NaN
1984-01-01,China,NaN
1985-01-01,China,NaN
1986-01-01,China,NaN
1987-01-01,China,7.233836
1988-01-01,China,18.811818
1989-01-01,China,18.245638
1990-01-01,China,3.052290
1991-01-01,China,3.556686
1992-01-01,China,6.353981
1993-01-01,China,14.610079
1994-01-01,China,24.256984
1995-01-01,China,16.791227
1996-01-01,China,8.313153
1997-01-01,China,2.786468
1998-01-01,China,-0.773182
1999-01-01,China,-1.401474
2000-01-01,China,0.347806
2001-01-01,China,0.719132
2002-01-01,China,-0.731976
2003-01-01,China,1.127602
2004-01-01,China,3.824638
2005-01-01,China,1.776416
2006-01-01,China,1.649433
2007-01-01,China,4.816765
2008-01-01,China,5.925255
2009-01-01,China,-0.728171
2010-01-01,China,3.175328
2011-01-01,China,5.553897
2012-01-01,China,2.619526
2013-01-01,China,2.621049
2014-01-01,China,1.921643
2015-01-01,China,1.437025
2016-01-01,China,2.000000
2017-01-01,China,1.593137
2018-01-01,China,2.074789
2019-01-01,China,2.899236
1960-01-01,USA,1.457976
1961-01-01,USA,1.070724
1962-01-01,USA,1.198773
1963-01-01,USA,1.239669
1964-01-01,USA,1.278912
1965-01-01,USA,1.585169
1966-01-01,USA,3.015075
1967-01-01,USA,2.772786
1968-01-01,USA,4.271796
1969-01-01,USA,5.462386
1970-01-01,USA,5.838255
1971-01-01,USA,4.292767
1972-01-01,USA,3.272278
1973-01-01,USA,6.177760
1974-01-01,USA,11.054805
1975-01-01,USA,9.143147
1976-01-01,USA,5.744813
1977-01-01,USA,6.501684
1978-01-01,USA,7.630964
1979-01-01,USA,11.254471
1980-01-01,USA,13.549202
1981-01-01,USA,10.334715
1982-01-01,USA,6.131427
1983-01-01,USA,3.212435
1984-01-01,USA,4.300535
1985-01-01,USA,3.545644
1986-01-01,USA,1.898048
1987-01-01,USA,3.664563
1988-01-01,USA,4.077741
1989-01-01,USA,4.827003
1990-01-01,USA,5.397956
1991-01-01,USA,4.234964
1992-01-01,USA,3.028820
1993-01-01,USA,2.951657
1994-01-01,USA,2.607442
1995-01-01,USA,2.805420
1996-01-01,USA,2.931204
1997-01-01,USA,2.337690
1998-01-01,USA,1.552279
1999-01-01,USA,2.188027
2000-01-01,USA,3.376857
2001-01-01,USA,2.826171
2002-01-01,USA,1.586032
2003-01-01,USA,2.270095
2004-01-01,USA,2.677237
2005-01-01,USA,3.392747
2006-01-01,USA,3.225944
2007-01-01,USA,2.852672
2008-01-01,USA,3.839100
2009-01-01,USA,-0.355546
2010-01-01,USA,1.640043
2011-01-01,USA,3.156842
2012-01-01,USA,2.069337
2013-01-01,USA,1.464833
2014-01-01,USA,1.622223
2015-01-01,USA,0.118627
2016-01-01,USA,1.261583
2017-01-01,USA,2.130110
2018-01-01,USA,2.442583
2019-01-01,USA,1.812210
